@relation training
@attribute 'current price' numeric
@attribute 'retail price' numeric
@attribute city {San_Francisco,New_York,Chicago,Silver_Spring,Philadelphia,Cleveland,Washington_DC,Los_Angeles,Las_Vegas,Seattle,Boston,Portland,Miami}
@attribute dtp numeric
@attribute tweeted {0,1}
@attribute 'concert tweet' {0,1}
@attribute followers numeric
@attribute 'venue capacity' numeric
@attribute classification {Wait,Buy}
@data
54,29.5,San_Francisco,9,1,1,0.27357,0.07106,Wait
49,29.5,San_Francisco,7,1,0,0.27357,0.07106,Buy
62.02,29.5,San_Francisco,5,1,1,0.27357,0.07106,Wait
48,29.5,San_Francisco,3,1,1,0.27357,0.07106,Wait
41.45,29.5,San_Francisco,1,1,1,0.27357,0.07106,Buy
44.97,25,New_York,9,1,0,0.00243,0.01681,Wait
32,25,New_York,7,0,0,0.00243,0.01681,Buy
37.99,25,New_York,5,1,0,0.00243,0.01681,Wait
27,25,New_York,3,1,0,0.00243,0.01681,Wait
24,25,New_York,1,1,1,0.00243,0.01681,Buy
51,33,Chicago,64,0,0,0.00188,0.13753,Wait
39,33,Chicago,62,0,0,0.00188,0.13753,Buy
51.3,33,Chicago,60,1,1,0.00188,0.13753,Wait
39,33,Chicago,58,1,1,0.00188,0.13753,Wait
38,33,Chicago,54,1,1,0.00188,0.13753,Wait
102,45,Chicago,42,0,0,0.00141,0.13753,Buy
119.99,45,Chicago,40,1,1,0.00141,0.13753,Wait
102.38,45,Chicago,38,1,0,0.00141,0.13753,Wait
88.5,45,Chicago,36,1,1,0.00141,0.13753,Wait
67.5,45,Chicago,32,0,0,0.00141,0.13753,Wait
41,19,Chicago,49,0,0,0.06155,0.15282,Wait
40,19,Chicago,47,1,1,0.06155,0.15282,Wait
39.6,19,Chicago,45,1,0,0.06155,0.15282,Buy
40,19,Chicago,43,1,0,0.06155,0.15282,Wait
40,19,Chicago,39,1,0,0.06155,0.15282,Wait
36.4,30,Silver_Spring,63,1,1,0.05984,0.61128,Wait
35,30,Silver_Spring,61,1,0,0.05984,0.61128,Wait
34.32,30,Silver_Spring,59,1,0,0.05984,0.61128,Buy
35,30,Silver_Spring,57,1,1,0.05984,0.61128,Wait
35,30,Silver_Spring,53,1,0,0.05984,0.61128,Wait
42,52.25,Philadelphia,130,0,0,0.01303,0.19866,Buy
48.22,52.25,Philadelphia,128,0,0,0.01303,0.19866,Wait
36.96,52.25,Philadelphia,126,1,1,0.01303,0.19866,Buy
37,52.25,Philadelphia,124,0,0,0.01303,0.19866,Wait
37,52.25,Philadelphia,120,1,0,0.01303,0.19866,Wait
36.73,40,Cleveland,30,1,0,0.00249,0.03491,Wait
36,40,Cleveland,28,0,0,0.00249,0.03491,Wait
35.52,40,Cleveland,26,0,0,0.00249,0.03491,Buy
36,40,Cleveland,24,0,0,0.00249,0.03491,Wait
36,40,Cleveland,20,0,0,0.00249,0.03491,Wait
65.5,48.4,Washington_DC,64,1,1,0.2445,0.05819,Buy
66,48.4,Washington_DC,62,0,0,0.2445,0.05819,Wait
51.04,48.4,Washington_DC,60,1,0,0.2445,0.05819,Buy
54,48.4,Washington_DC,58,1,1,0.2445,0.05819,Wait
53,48.4,Washington_DC,54,1,0,0.2445,0.05819,Wait
56,35,Washington_DC,17,0,0,0.00692,0.03667,Wait
45.5,35,Washington_DC,15,1,0,0.00692,0.03667,Wait
45.5,35,Washington_DC,13,0,0,0.00692,0.03667,Wait
39.99,35,Washington_DC,11,1,1,0.00692,0.03667,Wait
29,35,Washington_DC,7,0,0,0.00692,0.03667,Wait
80,25,Washington_DC,69,1,0,0.00132,0.03667,Wait
67.35,25,Washington_DC,67,1,1,0.00132,0.03667,Wait
59.28,25,Washington_DC,65,1,1,0.00132,0.03667,Buy
65.05,25,Washington_DC,63,1,0,0.00132,0.03667,Wait
61.58,25,Washington_DC,59,1,0,0.00132,0.03667,Wait
143,39.5,Los_Angeles,74,0,0,0.00833,0.02445,Wait
143,39.5,Los_Angeles,72,1,1,0.00833,0.02445,Wait
117.25,39.5,Los_Angeles,70,1,1,0.00833,0.02445,Buy
134.99,39.5,Los_Angeles,64,1,1,0.00833,0.02445,Wait
100,29,Los_Angeles,88,1,1,0.03317,0.12225,Wait
97,29,Los_Angeles,86,1,0,0.03317,0.12225,Wait
96.8,29,Los_Angeles,84,1,0,0.03317,0.12225,Buy
97,29,Los_Angeles,82,1,0,0.03317,0.12225,Wait
97,29,Los_Angeles,78,1,1,0.03317,0.12225,Wait
45,45,Las_Vegas,13,1,0,0.01513,0.09169,Wait
45,45,Las_Vegas,11,1,0,0.01513,0.09169,Wait
45,45,Las_Vegas,9,1,0,0.01513,0.09169,Wait
45,45,Las_Vegas,7,1,1,0.01513,0.09169,Wait
45,45,Las_Vegas,3,1,0,0.01513,0.09169,Wait
55,30,Seattle,73,0,0,0.00047,0.03362,Wait
53,30,Seattle,71,0,0,0.00047,0.03362,Wait
52.8,30,Seattle,69,1,1,0.00047,0.03362,Buy
53,30,Seattle,67,1,1,0.00047,0.03362,Wait
53,30,Seattle,63,0,0,0.00047,0.03362,Wait
65.85,24,Boston,15,1,1,0.01564,0.02445,Buy
77.4,24,Boston,13,1,0,0.01564,0.02445,Wait
65.34,24,Boston,11,0,0,0.01564,0.02445,Wait
63.85,24,Boston,9,1,1,0.01564,0.02445,Wait
57.5,24,Boston,5,1,0,0.01564,0.02445,Wait
150,25,Las_Vegas,32,1,1,0.06112,0.09169,Wait
150,25,Las_Vegas,30,1,1,0.06112,0.09169,Wait
150,25,Las_Vegas,28,1,1,0.06112,0.09169,Wait
150,25,Las_Vegas,26,1,1,0.06112,0.09169,Wait
